"ID","Lote","Categoria","Titulo","Solucion propuesta","Logica de test","Criterio de aceptacion","Estado","Prioridad"
"1","L1 Backlog base","IT1 Vida propia","HUD de vida propia","Panel PlayerHealthView con barra y numero del soldado poseido","Leer el Text del panel y compararlo contra Health.Current y MaxHealth del poseido","El texto coincide exactamente con la vida real del poseido","HECHO","Alta"
"2","L1 Backlog base","IT1 Vida propia","Color por nivel de vida","Verde sobre 60 por ciento, amarillo entre 25 y 60, rojo bajo 25","Fijar la vida en 80, 50 y 10 y leer fill.color en cada caso","Los tres tramos devuelven tres colores distintos y esperados","HECHO","Alta"
"3","L1 Backlog base","IT1 Vida propia","Pulso en vida critica","Multiplicar el color por un seno de Time.unscaledTime cuando la fraccion es menor o igual a 0.25","Con vida bajo 25 por ciento muestrear fill.color en dos frames separados","El color varia entre muestras y con vida alta se mantiene fijo","HECHO","Media"
"4","L1 Backlog base","IT1 Vida propia","Ocultar en RTS y vehiculo","SetActive false en UpdateRts y UpdateInVehicle igual que la mirilla","Alternar modo y leer activeSelf del panel en FPS, RTS y dentro del vehiculo","Activo solo en FPS a pie","HECHO","Alta"
"5","L1 Backlog base","IT2 Estado de mision","Contador de enemigos vivos","MissionStatusView contando ActorRegistry.CountAlive del equipo enemigo","Matar N enemigos y comparar el contador contra el conteo real de vivos","El numero baja exactamente N","HECHO","Alta"
"6","L1 Backlog base","IT2 Estado de mision","Contador de escuadra viva","Mismo panel contando el equipo jugador","Matar un aliado y leer el contador","Baja de 3 a 2 y coincide con los vivos reales","HECHO","Alta"
"7","L1 Backlog base","IT2 Estado de mision","Visible en ambos modos","No enganchar su visibilidad al modo de camara","Alternar FPS y RTS leyendo activeSelf del panel","Permanece activo en los dos modos","HECHO","Alta"
"8","L1 Backlog base","IT2 Estado de mision","Actualizacion por evento","Suscribirse a EntityDiedEvent en vez de recalcular por frame","Instrumentar Refresh y contar llamadas durante 60 frames sin muertes","Cero recalculos sin muertes y uno por muerte","HECHO","Media"
"9","L1 Backlog base","IT3 Roster","Barra de vida por fila","Image de tipo Filled por fila alimentada desde el Health del soldado","Dañar un soldado y leer el fillAmount de su fila","fillAmount coincide con Current dividido MaxHealth","HECHO","Alta"
"10","L1 Backlog base","IT3 Roster","Fila gris al morir","Cambiar fondo y color de texto a gris y mostrar la palabra CAIDO","Matar un soldado y leer texto y colores de su fila","El texto contiene CAIDO y los colores son los de muerto","HECHO","Alta"
"11","L1 Backlog base","IT3 Roster","Marca del poseido","Prefijo grafico en la fila del soldado controlado","Poseer distintos soldados y leer el texto de cada fila","Solo la fila del poseido lleva la marca","HECHO","Alta"
"12","L1 Backlog base","IT3 Roster","Arma por fila","Mostrar WeaponHolder.CurrentWeaponKind en cada fila","Cambiar de arma y releer la fila","El arma mostrada coincide con la equipada","HECHO","Media"
