"ID","Lote","Categoria","Titulo","Prioridad","Estado","Problema que resuelve","Implementacion detallada","Archivos afectados","Pasos de test","Criterio de aceptacion","Dependencias","Riesgo","Esfuerzo"
"1","L1","IT1 Vida propia","HUD de vida propia","Alta","HECHO","No existia ninguna forma de saber la vida del soldado controlado. La unica pista era el viñeteo rojo al recibir un golpe o buscarse a uno mismo en la lista lateral, que muestra a los tres iguales sin distinguir cual sos.","Componente PlayerHealthView con Bind de Text y Image de tipo Filled. UpdateFrom recibe el Soldier y escribe texto y fillAmount. Se construye en el HUD anclado abajo a la derecha sobre el panel de arma, misma columna y ancho para que lean como un bloque.","UI/PlayerHealthView.cs nuevo. Editor/HeadlessTestRunner.cs construccion del panel. Player/PlayerInputDriver.cs campo publico y llamada en UpdateFps.","Entrar en Play, leer el Text del panel por Resources.FindObjectsOfTypeAll y compararlo contra Health.Current y MaxHealth del poseido. Repetir tras aplicar daño conocido.","El texto coincide exactamente con la vida real del poseido antes y despues del daño.","Ninguna","Bajo. Es un panel nuevo que no toca logica de combate.","S"
"2","L1","IT1 Vida propia","Color por nivel de vida","Alta","HECHO","Un numero solo obliga a hacer la division mental. El jugador en combate necesita saber si esta bien o mal de un vistazo sin leer.","Tres constantes de color y seleccion por umbrales sobre la fraccion de vida. Verde sobre 0.6, amarillo entre 0.25 y 0.6, rojo por debajo de 0.25. Se aplica al color del fill, no al texto, para que se lea aunque el numero quede tapado.","UI/PlayerHealthView.cs","Fijar la vida en 80, 50 y 10 mediante TakeDamage y leer fill.color en cada caso.","Los tres tramos devuelven tres colores distintos y corresponden al umbral esperado.","Punto 1","Bajo","S"
"3","L1","IT1 Vida propia","Pulso en vida critica","Media","HECHO","Un rojo fijo se vuelve parte del decorado a los pocos segundos. Justo cuando mas importa el jugador deja de verlo.","Multiplicar las componentes del color por un factor derivado de un seno de Time.unscaledTime cuando la fraccion es menor o igual a 0.25. Se usa unscaledTime a proposito para que el pulso siga vivo con el juego en pausa.","UI/PlayerHealthView.cs","Con vida bajo el 25 por ciento muestrear fill.color en dos frames separados por al menos 0.1 segundos. Repetir con vida alta.","El color varia entre muestras con vida baja y se mantiene constante con vida alta.","Punto 2","Bajo. Vigilar que no genere parpadeo molesto en pantallas de alta frecuencia.","S"
"4","L1","IT1 Vida propia","Ocultar en RTS y vehiculo","Alta","HECHO","La vida personal es informacion de puntería a pie. En vista tactica o manejando un tanque queda como un panel huerfano que ocupa lugar y contradice el resto del HUD que si se oculta.","SetActive false del panel en UpdateRts, en UpdateInVehicle y al arrancar la secuencia de muerte. SetActive true solo en UpdateFps. Sigue exactamente el mismo criterio que ya usa la mirilla.","Player/PlayerInputDriver.cs en UpdateFps, UpdateRts, UpdateInVehicle y DeathSequence","Alternar modo con ToggleMode y leer activeSelf del panel en FPS, en RTS y con el jugador sentado en el vehiculo.","Activo solo en FPS a pie y oculto en los otros tres estados.","Punto 1","Bajo","S"
"5","L1","IT2 Estado de mision","Contador de enemigos vivos","Alta","HECHO","Se peleaba a ciegas sin saber si faltaban dos enemigos o diez, y la pantalla de victoria aparecia de sorpresa sin construir tension.","MissionStatusView con un Text que se refresca por evento. Cuenta con ActorRegistry.CountAlive del equipo enemigo, que barre incluyendo inactivos para no perder a los montados en vehiculo.","UI/MissionStatusView.cs nuevo. Core/ActorRegistry.cs metodo CountAlive. Editor/HeadlessTestRunner.cs construccion del panel.","Matar N enemigos con TakeDamage y comparar el contador contra el conteo real recorriendo el registro.","El numero baja exactamente N y coincide con los vivos reales.","Punto 82","Medio. Contar por registro y no por lista cableada cambia tambien la condicion de victoria.","M"
"6","L1","IT2 Estado de mision","Contador de escuadra viva","Alta","HECHO","No habia forma de saber cuantos aliados quedaban sin recorrer el roster uno por uno, y en combate no hay tiempo para eso.","Mismo panel y mismo metodo CountAlive pero con el equipo jugador. Se muestra junto al de enemigos para que se lean como un marcador unico.","UI/MissionStatusView.cs","Matar un aliado y leer el contador. Verificar tambien que montar a un aliado en el vehiculo no lo baja.","Baja de 3 a 2 al morir uno y no cambia al montar.","Punto 83","Bajo","S"
"7","L1","IT2 Estado de mision","Visible en ambos modos","Alta","HECHO","Todo el resto del HUD se oculta al pasar a RTS. Si el marcador se ocultara tambien, el jugador perderia el estado de la partida justo en la vista donde planifica.","No enganchar su visibilidad a ninguna rama de modo. Es la unica excepcion deliberada a la regla de ocultar HUD en RTS, porque no es informacion de punteria sino el marcador de la partida.","Player/PlayerInputDriver.cs no debe tocarlo en ninguna rama","Alternar FPS y RTS leyendo activeSelf del panel en cada estado.","Permanece activo en los dos modos y dentro del vehiculo.","Punto 5","Bajo","S"
"8","L1","IT2 Estado de mision","Actualizacion por evento","Media","HECHO","Recalcular por frame significa barrer el registro sesenta veces por segundo para un numero que solo cambia cuando alguien muere. Con cincuenta unidades eso es costo puro.","Suscripcion a EntityDiedEvent en OnEnable con dispose en OnDisable, mas un Refresh inicial en Start para el estado de arranque.","UI/MissionStatusView.cs","Instrumentar Refresh con un contador y dejar correr sesenta frames sin muertes. Luego matar uno y volver a contar.","Cero recalculos sin muertes y exactamente uno por muerte.","Punto 5","Bajo","S"
"9","L1","IT3 Roster","Barra de vida por fila","Alta","HECHO","El roster solo mostraba nombre y rol. Para elegir a quien poseer con las teclas de escuadra habia que adivinar quien estaba herido o cruzarlo con el panel de abajo.","Image de tipo Filled horizontal al pie de cada fila, alimentada desde el Health del soldado en LateUpdate. Mismos umbrales de color que el panel de vida propia para que el lenguaje visual sea uno solo.","UI/SelectedSoldierUI.cs. Editor/HeadlessTestRunner.cs construccion de la barra por fila.","Dañar un soldado y leer el fillAmount de su fila.","fillAmount coincide con Current dividido MaxHealth.","Punto 84","Bajo","M"
"10","L1","IT3 Roster","Fila gris al morir","Alta","HECHO","Un soldado muerto seguia listado igual que los vivos, compitiendo por atencion y ofreciendo una opcion de posesion que iba a ser rechazada.","Al detectar que el Health no esta vivo se cambia el fondo y el color de texto a gris apagado y se reemplaza el contenido por el nombre y la palabra CAIDO. Ademas Refresh deja de pintarlo como poseido o seleccionado.","UI/SelectedSoldierUI.cs en LateUpdate y en Refresh","Matar un soldado y leer texto y colores de su fila. Verificar tambien que un evento de seleccion posterior no lo vuelve a pintar.","El texto contiene CAIDO, los colores son los de muerto y ningun evento posterior lo resalta.","Punto 9","Bajo","S"
